Pathway	pVal	zScore	Genes	type	comparison
14-3-3-mediated Signaling	3.53	0.25819889	"AKT1S1,BAX,FOXO1,GFAP,MAP2K2,MAPK12,MAPK3,PIK3R1,PIK3R2,PIK3R3,PLCB1,PLCB2,PLCG1,PLCL1,RAP1A,RASD1,RRAS2,STK11,TUBA1A,TUBA8,TUBB,TUBB2A,TUBB2B,TUBB3,TUBB4B,TUBG1,YAP1"	Canonical	Adult_vs_Fetal
"2-(4-amino-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidin-3-yl)-1H-indol-5-ol Signaling"	5.333482019	3.31	"ADGRL2,AHR,ATP6V0E2,AURKB,BBS4,BCL6,BIRC5,BRIP1,CCNB1IP1,CDC25A,CDC45,CDCA2,CDK4,CFLAR,CPT1A,FOXC1,GINS2,GJA1,H2AX,HAUS1,IFRD1,KIF14,KIF18B,KNL1,MCM10,MCM6,NCAPG,ORC6,PAXX,PDLIM2,SERPINB1,SKP2,SOX9,SPTAN1,TCP11L2,TK1,TOP2A,TUBG1,UBE2T,UNG,YAP1"	Upstream	Adult_vs_Fetal
3-deazaneplanocin Signaling	3.93930216	-1.133	"C1QL2,CD274,CLDN11,DLX2,DUSP10,DUSP4,EZH2,IRF8,MVP,MYC,NOTCH2,PJA1,SEL1L,SNX33,SOX12,TIMP3,USP53,ZNF286A"	Upstream	Adult_vs_Fetal
4-(2-aminoethyl)benzenesulfonylfluoride Signaling	3.176525771	0.905	"ACSS2,ATP1A2,COL11A1,COL1A2,DDIT3,ENPP2,FBN2,FN1,SCN1A,SERPINI1,TNC"	Upstream	Adult_vs_Fetal
Actin Cytoskeleton Signaling	4.07	-1.521277659	"ACTA2,ACTN1,ACTN2,APC2,ARHGAP35,BAIAP2,CFL2,CYFIP2,DOCK1,EZR,F2R,FGD1,FGF1,FGF13,FGF14,FN1,GNG12,IQGAP2,ITGA3,MAP2K2,MAPK3,MYH10,MYH7,MYL6B,MYLK,PAK1,PAK3,PAK5,PDGFC,PIK3R1,PIK3R2,PIK3R3,PTK2,RAP1A,RASD1,RDX,RRAS2,SLC9A1,SSH3,TIAM1,VAV2,VCL"	Canonical	Adult_vs_Fetal
ADCYAP1 Signaling	3.015472687	-3.205	"ACTN1,ADCYAP1R1,ADD3,C1QL2,CCL4,CCL5,CNN3,CNTNAP4,COL3A1,COL5A2,CRH,DLL3,EDIL3,ENPP2,EPHA2,FST,GAP43,GAS1,GFAP,GRK5,HAPLN1,HK1,IDH2,KIF23,LAMA1,MAPK4,MOG,MYC,PDE10A,S100A10,SCG2,SERPINB1,SEZ6L,SLC1A2,SMAD1,SNAP25,ST18,TGFB2,TK1,TSC22D1,TTYH1,TUBB2B"	Upstream	Adult_vs_Fetal
advanced glycation end-products Signaling	3.22475374	-0.194	"ABCA1,BAX,BSG,CLDN5,CXCL12,DDAH2,F2R,FN1,FOXO1,GJA1,LRP2,MKI67,SERPINE1"	Upstream	Adult_vs_Fetal
AGT Signaling	4.385102784	-0.909	"ACTA2,ADD3,ANK3,APLN,ATP1B1,BAX,BGN,BOK,CCL4,CCL5,CCND2,CCR5,CDC25A,CDK1,CDK4,CIT,CLGN,CNR1,COL1A2,COL3A1,COL4A1,COL4A6,COL6A1,COX5A,DDAH2,DHFR,EFEMP1,EFNB2,EGFR,ETV1,FGF13,FN1,GABBR1,GABRB3,GAP43,GJA1,GLCCI1,GRK5,GSTM5,HES1,HEY1,IFI16,IGFBP4,IGFBP5,IL1B,INHBB,INSR,ITGA7,ITGB3,ITPKB,LAMP2,MAD2L1,MAP2,MATN2,MYC,MYH10,MYH7,NDRG1,NGF,NOTCH3,NPY,NRG1,PALLD,PIK3R1,PURA,RELT,SCN2A,SERPINE1,SGCD,SGK1,SLC10A6,SLC9A1,SOX4,SOX6,STK11,TAGLN2,TFPI,TGFB2,TP53,TUBB3,ZBTB18,ZEB1,ZNF516"	Upstream	Adult_vs_Fetal
AHR Signaling	4.229884705	2.201	"ACTA2,ACTN1,AHRR,ARNT,BAX,CBR1,CCL5,CDK1,CDK4,CDKN2D,CERS2,CERS4,CERS6,CHST2,COL11A1,COL16A1,COL1A2,COL27A1,COL3A1,COL4A1,COL4A2,COL5A2,COL6A1,COX8A,DHFR,EFEMP1,ENPEP,FBLN2,FBN2,FN1,FZD7,GADD45A,GAS1,GSTM5,HECTD2,HES1,IKZF3,IL1B,ITGA7,MATN2,MYC,MYH7,NFE2L2,NID1,NOTCH3,PCDH8,PDE4B,PDGFRA,PDGFRB,PJA1,PLAT,PLXNA2,PMP22,SEMA3A,SERPINE1,SNAI2,SOX2,SPTLC2,STAT3,TGFB2,TIMP3,TIPARP,TK1,TP53,TSPYL2,TUBA8,VCL"	Upstream	Adult_vs_Fetal
Akt Signaling	5.609064893	-1.58	"ACTA2,ATP5F1A,BAX,BCL6,BIRC5,CCND2,CD274,CDK4,CDKN1C,CELSR2,CFLAR,CHST3,COL3A1,COPS6,CPM,CPT1A,CXCL12,EFNB3,EGFR,EPAS1,EZH2,FKTN,FN1,FOXM1,FOXO1,GCNT4,GLI2,GPM6B,HES1,IGFBP2,IL1B,INSR,KIRREL1,LAMB2,LMBRD1,MAGT1,MAP2,MSI1,MYC,NDRG1,NDUFV1,NFE2L2,NOTCH2,PCDHGC3,PPARD,PRDM16,PTN,PTPRF,PTX3,RASD1,RRM2,RUNX2,SERPINE1,SGK1,SKP2,SLC1A2,SNAI2,SOX2,SOX4,SOX9,SYT1,TIPARP,TMED9,TMEM106B,TNC,TNFRSF11A,TP53,TSPAN13,TUSC3,UGT8,VCAN,ZEB1"	Upstream	Adult_vs_Fetal
