© 2000-2023 QIAGEN. All rights reserved.

Analysis Details for My Projects->Aging_scRNA->E2F6vsEGFP - 2023-01-29 06:52 PM
Workspace	My Projects
Project	Aging_scRNA
Analysis	E2F6vsEGFP - 2023-01-29 06:52 PM
Date	Sun Jan 29 15:52:42 PST 2023
Analysis ID	40216311

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Aging_scRNA->E2F6vsEGFP - 2023-01-29 06:52 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	-0E00		1.46E-02	IGBP1,NUDT1,PPP1CA	
3-phosphoinositide Degradation	-0E00		1.57E-02	IGBP1,NUDT1,PPP1CA	
Actin Nucleation by ARP-WASP Complex	-0E00		2.15E-02	ITGB1,RHOA	
Acute Myeloid Leukemia Signaling	-0E00		1.10E-02	IDH2	
Acute Phase Response Signaling	-0E00		5.41E-03	FOS	
Adrenomedullin signaling pathway	-0E00		1.51E-02	FOS,GAD1,MAPK10	
Agranulocyte Adhesion and Diapedesis	-0E00		2.38E-02	CD99,ITGB1,MSN,MYL6,RDX	
Aldosterone Signaling in Epithelial Cells	-0E00		1.74E-02	DNAJC1,DNAJC9,HSPD1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		1.06E-03	TLR10	
Angiopoietin Signaling	-0E00		1.32E-02	BIRC5	
Antioxidant Action of Vitamin C	-0E00		1.75E-02	GLRX,MAPK10	
Antiproliferative Role of TOB in T Cell Signaling	-0E00		4.69E-03	CCNE2,TOB1	
Apelin Adipocyte Signaling Pathway	-0E00		2.17E-02	GSTP1,MAPK10	
Apelin Cardiomyocyte Signaling Pathway	-0E00		2.02E-02	MAPK10,MYL6	
Apelin Pancreas Signaling Pathway	-0E00		2.17E-02	MAPK10	
Apoptosis Signaling	-0E00		1.92E-02	CDK1,PARP1	
Atherosclerosis Signaling	-0E00		7.52E-03	COL1A2	
Autophagy	-0E00		1.39E-02	E2F1,FOS,MAPK10	
B Cell Receptor Signaling	-0E00		4.72E-03	CAMK2D,CFL1,EGR1	
BMP signaling pathway	-0E00		1.10E-02	MAPK10	
Basal Cell Carcinoma Signaling	-0E00		1.39E-02	CTNNB1	
CCR5 Signaling in Macrophages	-0E00		1.40E-02	CACNB4,FOS,GNAO1,GNG11,GNG3,GNG5,MAPK10	
CD28 Signaling in T Helper Cells	-0E00		3.87E-03	FOS,MAPK10	
CDC42 Signaling	-0E00	-1.3416407864998738	8.68E-03	CFL1,FOS,ITGB1,MAPK10,MYL6	
CDX Gastrointestinal Cancer Signaling Pathway	-0E00		9.90E-03	CTNNB1,FOS	
CLEAR Signaling Pathway	-0E00	-0.4472135954999579	1.75E-02	ATP6V1G2,PDGFRA,TLR10,YWHAB,YWHAG	
CREB Signaling in Neurons	-0E00	1.3416407864998738	1.81E-02	CACNB4,CAMK2D,GNAO1,GNG11,GNG3,GNG5,GRIA1,GRIA2,PDGFRA,POLR2J,POLR2L	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		4.93E-03	FOS,ITGB1,MAPK10	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	-0.3779644730092272	1.66E-02	CACNB4,CAMK2D,CTNNB1,GNG11,GNG3,GNG5,ITGB1,MAPK10,RHOA	
Caveolar-mediated Endocytosis Signaling	-0E00		1.33E-02	ITGB1	
Cellular Effects of Sildenafil (Viagra)	-0E00		1.33E-02	CACNB4,MYL6	
Ceramide Signaling	-0E00		1.10E-02	FOS	
Clathrin-mediated Endocytosis Signaling	-0E00		1.44E-02	ITGB1,MYO6,RPS27A	
Communication between Innate and Adaptive Immune Cells	-0E00		1.07E-03	TLR10	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00		1.10E-02	CAMK2D	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00		1.68E-02	IGBP1,NUDT1,PPP1CA	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00		1.68E-02	IGBP1,NUDT1,PPP1CA	
D-myo-inositol-5-phosphate Metabolism	-0E00		1.54E-02	IGBP1,NUDT1,PPP1CA	
Death Receptor Signaling	-0E00		1.04E-02	PARP1	
Dendritic Cell Maturation	-0E00		3.36E-03	COL1A2,MAPK10	
Dilated Cardiomyopathy Signaling Pathway	-0E00		2.00E-02	CACNB4,CAMK2D,MYL6	
Dopamine Receptor Signaling	-0E00		1.25E-02	PPP1CA	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00		1.08E-02	CACNB4,PPP1CA	
EGF Signaling	-0E00		1.79E-02	FOS	
ERBB Signaling	-0E00		2.15E-02	FOS,MAPK10	
ERBB4 Signaling	-0E00		1.47E-02	ADAM17	
Endometrial Cancer Signaling	-0E00		1.67E-02	CTNNB1	
Endothelin-1 Signaling	-0E00		1.55E-02	FOS,GNAO1,MAPK10	
Erythropoietin Signaling Pathway	-0E00		1.69E-02	CCND2,CTNNB1,FOS	
Estrogen-Dependent Breast Cancer Signaling	-0E00		1.23E-02	FOS	
FAK Signaling	-0E00	-0.3779644730092272	6.72E-03	COL1A2,CTNNB1,FOS,ITGB1,MAPK10,PDGFRA,RHOA	
FXR/RXR Activation	-0E00		7.94E-03	MAPK10	
Fc Epsilon RI Signaling	-0E00		8.47E-03	MAPK10	
FcγRIIB Signaling in B Lymphocytes	-0E00		3.75E-03	CACNB4,MAPK10	
G Protein Signaling Mediated by Tubby	-0E00	0.4472135954999579	1.07E-02	GNAO1,GNG11,GNG3,GNG5,THRA	
G-Protein Coupled Receptor Signaling	-0E00	0.3333333333333333	1.28E-02	CAMK2D,CTNNB1,FOS,GNAO1,GNG11,GNG3,GNG5,MAPK10,MYL6	
GP6 Signaling Pathway	-0E00		7.87E-03	COL1A2	
Glioma Invasiveness Signaling	-0E00		1.37E-02	RHOA	
Granulocyte Adhesion and Diapedesis	-0E00		2.12E-02	CD99,ITGB1,MSN,RDX	
Growth Hormone Signaling	-0E00		1.41E-02	FOS	
Gustation Pathway	-0E00		4.93E-03	CACNB4	
Hepatic Cholestasis	-0E00		5.24E-03	MAPK10	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	-0E00		1.55E-02	COL1A2,MYL6,PDGFRA	
Hepatic Fibrosis Signaling Pathway	-0E00	-1.6666666666666667	2.36E-02	CACNB4,COL1A2,CTNNB1,EZH2,FOS,ITGB1,MAPK10,MYL6,PDGFRA,RHOA	
Human Embryonic Stem Cell Pluripotency	-0E00		1.49E-02	CTNNB1,ID2,PDGFRA	
ICOS-ICOSL Signaling in T Helper Cells	-0E00		1.97E-03	CAMK2D	
IL-10 Signaling	-0E00		1.95E-02	CDKN1A,FOS,PKM	
IL-12 Signaling and Production in Macrophages	-0E00	-0.4472135954999579	2.12E-02	COL1A2,FOS,H3-3A/H3-3B,PRKDC,XRCC5	
IL-13 Signaling Pathway	-0E00		1.72E-02	CTNNB1,RHOA	
IL-15 Production	-0E00		8.13E-03	PDGFRA	
IL-17 Signaling	-0E00		1.07E-02	FOS,MAPK10	
IL-17A Signaling in Airway Cells	-0E00		1.49E-02	MAPK10	
IL-2 Signaling	-0E00		1.61E-02	FOS	
IL-3 Signaling	-0E00		1.27E-02	FOS	
IL-4 Signaling	-0E00		1.73E-03	COL1A2	
IL-6 Signaling	-0E00		1.55E-02	FOS,MAPK10	
Immunogenic Cell Death Signaling Pathway	-0E00		1.11E-02	HMGB1	
Insulin Receptor Signaling	-0E00		1.43E-02	PPP1CA,VAMP2	
Integrin Signaling	-0E00		1.42E-02	ITGB1,PFN1,RHOA	
Intrinsic Prothrombin Activation Pathway	-0E00		2.38E-02	COL1A2	
Iron homeostasis signaling pathway	-0E00		2.17E-02	ATP6V1G2,HIF3A,PDGFRA	
JAK/STAT Signaling	-0E00		2.44E-02	CDKN1A,FOS	
LPS-stimulated MAPK Signaling	-0E00		2.35E-02	FOS,MAPK10	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00		1.18E-02	ALDH9A1,GSTP1,HMGCS1	
Leptin Signaling in Obesity	-0E00		1.32E-02	NPY	
MSP-RON Signaling In Macrophages Pathway	-0E00		8.40E-03	FOS	
MYC Mediated Apoptosis Signaling	-0E00		2.00E-02	BBC3	
Macrophage Classical Activation Signaling Pathway	-0E00		1.06E-02	EZH2,PKM	
Mouse Embryonic Stem Cell Pluripotency	-0E00		1.92E-02	CTNNB1,ID2	
Multiple Sclerosis Signaling Pathway	-0E00		1.35E-02	EZH2,PARP1,TLR10	
NF-κB Activation by Viruses	-0E00		1.28E-02	ITGB1	
NF-κB Signaling	-0E00		3.50E-03	PDGFRA,TLR10	
NGF Signaling	-0E00		1.67E-02	MAPK10,RHOA	
NOD1/2 Signaling Pathway	-0E00		1.59E-02	FOS,MAPK10,TLR10	
NUR77 Signaling in T Lymphocytes	-0E00		1.95E-03	PCNA	
Natural Killer Cell Signaling	-0E00		1.52E-02	CFL1,COL1A2,ITGB1	
Necroptosis Signaling Pathway	-0E00		6.41E-03	CAMK2D	
Netrin Signaling	-0E00		1.39E-02	CACNB4	
Neuregulin Signaling	-0E00		1.71E-02	ADAM17,ITGB1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00		1.65E-02	APP,MAPT	
Neurotrophin/TRK Signaling	-0E00		1.28E-02	FOS	
Nitric Oxide Signaling in the Cardiovascular System	-0E00		8.33E-03	CACNB4	
OX40 Signaling Pathway	-0E00		2.09E-03	MAPK10	
Osteoarthritis Pathway	-0E00		1.69E-02	ANXA5,CTNNB1,HMGB1,ITGB1	
Oxidative Ethanol Degradation III	-0E00		1.75E-02	ALDH9A1	
PDGF Signaling	-0E00		2.30E-02	FOS,PDGFRA	
PEDF Signaling	-0E00		1.19E-02	RHOA	
PI3K Signaling in B Lymphocytes	-0E00		3.38E-03	CAMK2D,FOS	
PKCθ Signaling in T Lymphocytes	-0E00		5.38E-03	CACNB4,CAMK2D,FOS	
PPAR Signaling	-0E00		1.87E-02	FOS,PDGFRA	
PTEN Signaling	-0E00		1.99E-02	CDKN1A,ITGB1,PDGFRA	
Pathogen Induced Cytokine Storm Signaling Pathway	-0E00	0.0	1.08E-02	COL1A2,FOS,MAPK10,TLR10	
Paxillin Signaling	-0E00		1.87E-02	ITGB1,MAPK10	
Phagosome Formation	-0E00	-0.8164965809277261	8.63E-03	CFL1,ITGB1,MRC2,MYL6,RHOA,TLR10	
Phospholipase C Signaling	-0E00	-2.23606797749979	5.35E-03	GNG11,GNG3,GNG5,ITGB1,MYL6,RHOA	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	-0E00	0.0	2.09E-02	FOS,MAPK10,PPP1CA,RHOA	
Prolactin Signaling	-0E00		1.05E-02	FOS	
RAC Signaling	-0E00		2.19E-02	CFL1,ITGB1,RHOA	
RANK Signaling in Osteoclasts	-0E00		2.20E-02	FOS,MAPK10	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00		6.49E-03	FOS,MAPK10,TOB1	
Renin-Angiotensin Signaling	-0E00		1.65E-02	FOS,MAPK10	
Retinoic acid Mediated Apoptosis Signaling	-0E00		1.67E-02	PARP1	
Role Of Chondrocytes In Rheumatoid Arthritis Signaling Pathway	-0E00		2.13E-02	EGR1,FOS,ITGB1	
Role Of Osteoblasts In Rheumatoid Arthritis Signaling Pathway	-0E00		4.10E-03	CTNNB1	
Role Of Osteoclasts In Rheumatoid Arthritis Signaling Pathway	-0E00	-0.4472135954999579	1.94E-02	ADAM17,COL1A2,CTNNB1,FOS,MAPK10,RHOA	
Role of IL-17A in Arthritis	-0E00		1.75E-02	MAPK10	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	-0E00		1.27E-02	MAPK10	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	-0E00		1.75E-02	ATP6V1G2,MAPK10	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00		1.19E-02	MAPK10	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	-0E00		2.11E-02	CAMK2D,CTNNB1,FOS,GNAO1,MIF,RHOA,TLR10	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	-0E00		8.06E-03	CTNNB1	
Role of NFAT in Regulation of the Immune Response	-0E00		4.82E-03	FOS,GNAO1,GNG11,GNG3,GNG5	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	-0E00		1.75E-02	ADAM17,CTNNB1,FOS,MAPK10	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00		6.41E-03	MAPK10	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00		1.28E-02	CTNNB1	
S100 Family Signaling Pathway	-0E00	1.8973665961010275	1.30E-02	APP,CACNB4,CAMK2D,CDKN1A,CTNNB1,FOS,MAPK10,NCL,RHOA,TPM4	
SAPK/JNK Signaling	-0E00	-1.0	9.96E-03	GADD45A,GNG11,GNG3,GNG5,MAPK10	
SPINK1 Pancreatic Cancer Pathway	-0E00		1.67E-02	CPE	
Serotonin Degradation	-0E00		1.41E-02	ALDH9A1	
