© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->Fetal Adult Manuscript->de_Cd140_vs_A2B5 - High confidence
Workspace	My Projects
Project	Fetal Adult Manuscript
Analysis	de_Cd140_vs_A2B5 - High confidence
Date	Sun Aug 02 00:40:13 PDT 2020
Analysis ID	19590486

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Fetal Adult Manuscript->de_Cd140_vs_A2B5 - High confidence
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
AMPK Signaling	-0E00	0.4472135954999579	2.80E-02	ADRA2A,CCND1,CHRM3,MAPK13,PIK3R5,PIK3R6	
Actin Nucleation by ARP-WASP Complex	-0E00		2.78E-02	ARPC1B,WAS	
Androgen Signaling	-0E00		2.94E-02	CCND1,GNA15,GNG3,PRKCB	
Angiopoietin Signaling	-0E00		2.67E-02	PIK3R5,PIK3R6	
Autophagy	-0E00		1.64E-02	CTSC	
BMP signaling pathway	-0E00		1.18E-02	MAPK13	
Calcium Signaling	-0E00		1.46E-02	CASQ1,GRIA2,TRPC4	
Cell Cycle Control of Chromosomal Replication	-0E00		1.79E-02	TOP2A	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00		2.94E-02	FCER1G	
Dopamine Receptor Signaling	-0E00		2.60E-02	ADCY2,PPP1R1B	
EIF2 Signaling	-0E00		1.79E-02	ACTG2,CCND1,PIK3R5,PIK3R6	
Ephrin B Signaling	-0E00		2.78E-02	GNA15,GNG3	
Germ Cell-Sertoli Cell Junction Signaling	-0E00		2.92E-02	ACTG2,MAP3K1,PIK3R5,PIK3R6,TNF	
Gα12/13 Signaling	-0E00		2.31E-02	MAP3K1,PIK3R5,PIK3R6	
HIPPO signaling	-0E00		1.18E-02	SFN	
Hypoxia Signaling in the Cardiovascular System	-0E00		2.70E-02	HIF1A,UBE2C	
Interferon Signaling	-0E00		2.78E-02	OAS1	
MIF-mediated Glucocorticoid Regulation	-0E00		2.94E-02	PLA2G3	
Melatonin Degradation I	-0E00		1.67E-02	CYP1B1	
Mitochondrial Dysfunction	-0E00		1.75E-02	APH1B,COX6A2,FURIN	
Mitotic Roles of Polo-Like Kinase	-0E00		1.52E-02	CCNB1	
NER Pathway	-0E00		9.71E-03	TOP2A	
Netrin Signaling	-0E00		1.54E-02	PRKG1	
Nicotine Degradation III	-0E00		1.75E-02	CYP1B1	
OX40 Signaling Pathway	-0E00		2.22E-02	CD4,FCER1G	
Oxidative Phosphorylation	-0E00		9.17E-03	COX6A2	
Phagosome Maturation	-0E00		2.65E-02	ATP6V1B2,CTSC,NCF1,NCF2	
Protein Ubiquitination Pathway	-0E00		2.20E-02	CRYAB,DNAJB13,HSPB1,HSPB6,HSPB8,UBE2C	
Pyridoxal 5'-phosphate Salvage Pathway	-0E00		1.52E-02	SGK1	
Regulation of eIF4 and p70S6K Signaling	-0E00		1.91E-02	MAPK13,PIK3R5,PIK3R6	
Retinoic acid Mediated Apoptosis Signaling	-0E00		1.67E-02	TNFRSF10C	
RhoGDI Signaling	-0E00		2.78E-02	ACTG2,ARPC1B,EZR,GNA15,GNG3	
Role of BRCA1 in DNA Damage Response	-0E00		1.25E-02	E2F7	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00		1.75E-02	E2F7	
Role of JAK2 in Hormone-like Cytokine Signaling	-0E00		2.94E-02	SIRPA	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00		2.17E-02	ETS2	
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00		1.02E-02	SGK1	
Sumoylation Pathway	-0E00		2.91E-02	CEBPA,FOS,SP100	
Superpathway of Melatonin Degradation	-0E00		1.54E-02	CYP1B1	
Superpathway of Methionine Degradation	-0E00		2.70E-02	CDO1	
TGF-β Signaling	-0E00		2.08E-02	FOS,MAPK13	
Telomerase Signaling	-0E00		2.80E-02	ETS2,PIK3R5,PIK3R6	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00		2.63E-02	DIO2	
Triacylglycerol Biosynthesis	-0E00		2.38E-02	PLPP4	
nNOS Signaling in Neurons	-0E00		2.13E-02	PRKCB	
4-1BB Signaling in T Lymphocytes	2.07E-01		3.12E-02	MAPK13	
Acetone Degradation I (to Methylglyoxal)	2.15E-01		3.23E-02	CYP1B1	
Serotonin Degradation	2.23E-01		2.99E-02	ALDH1A3,DHRS9	
Dopamine Degradation	2.24E-01		3.33E-02	ALDH1A3	
Nicotine Degradation II	2.36E-01		3.08E-02	CYP1B1,FMO1	
PXR/RXR Activation	2.36E-01		3.08E-02	IL6,TNF	
Regulation of Cellular Mechanics by Calpain Protease	2.36E-01		3.08E-02	CCND1,EZR	
ATM Signaling	2.55E-01		3.09E-02	CCNB1,GADD45B,MAPK13	
Induction of Apoptosis by HIV1	2.62E-01		3.28E-02	TNF,TNFRSF1B	
Gluconeogenesis I	2.64E-01		3.85E-02	ALDOC	
Glycolysis I	2.64E-01		3.85E-02	ALDOC	
Lipid Antigen Presentation by CD1	2.64E-01		3.85E-02	FCER1G	
Regulation of Actin-based Motility by Rho	2.72E-01		3.19E-02	ACTG2,ARPC1B,WAS	
Bupropion Degradation	2.75E-01		4.00E-02	CYP1B1	
Tryptophan Degradation X (Mammalian, via Tryptamine)	2.75E-01		4.00E-02	ALDH1A3	
Dermatan Sulfate Biosynthesis	2.77E-01		3.39E-02	CHST11,NDST2	
Cancer Drug Resistance By Drug Efflux	2.84E-01		3.45E-02	ABCG2,PDK1	
Glutathione Redox Reactions I	2.87E-01		4.17E-02	GPX3	
IL-22 Signaling	2.87E-01		4.17E-02	MAPK13	
Prostate Cancer Signaling	2.9E-01		3.30E-02	CCND1,PIK3R5,PIK3R6	
Xenobiotic Metabolism PXR Signaling Pathway	2.91E-01	1.6329931618554523	3.12E-02	ALDH16A1,ALDH1A3,CHST11,NDST2,PRKCB,UGT8	
Sirtuin Signaling Pathway	2.98E-01	-1.414213562373095	3.09E-02	DUSP6,GADD45B,H1-2,HIF1A,MAPK15,PDK1,PPARG,SIRT2,TNF	
RhoA Signaling	3E-01	1.0	3.25E-02	ACTG2,ARPC1B,EZR,IGF1	
Chondroitin Sulfate Biosynthesis	3E-01		3.57E-02	CHST11,NDST2	
Unfolded protein response	3E-01		3.57E-02	CEBPA,PPARG	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	3.03E-01		3.37E-02	FOS,MAP3K1,PLCG2	
Polyamine Regulation in Colon Cancer	3.13E-01		4.55E-02	PPARG	
CD27 Signaling in Lymphocytes	3.26E-01		3.77E-02	FOS,MAP3K1	
Lymphotoxin β Receptor Signaling	3.26E-01		3.77E-02	PIK3R5,PIK3R6	
Putrescine Degradation III	3.27E-01		4.76E-02	ALDH1A3	
IL-4 Signaling	3.3E-01		3.53E-02	IL4R,PIK3R5,PIK3R6	
Fatty Acid α-oxidation	3.43E-01		5.00E-02	ALDH1A3	
Amyloid Processing	3.55E-01		4.00E-02	APH1B,MAPK13	
Myc Mediated Apoptosis Signaling	3.55E-01		4.00E-02	TNF,TNFRSF1B	
Granzyme A Signaling	3.59E-01		5.26E-02	H1-2	
Valine Degradation I	3.59E-01		5.26E-02	BCAT1	
mTOR Signaling	3.6E-01	2.4494897427831783	3.33E-02	DDIT4,HIF1A,PIK3R5,PIK3R6,PLD4,PRKCB,RPS6KA1	
Cyclins and Cell Cycle Regulation	3.6E-01		3.70E-02	CCNB1,CCND1,E2F7	
PI3K/AKT Signaling	3.74E-01		3.43E-02	CCND1,IFNLR1,IL10RA,IL13RA2,IL4R,SFN	
Chondroitin Sulfate Biosynthesis (Late Stages)	3.75E-01		4.17E-02	CHST11,NDST2	
FAT10 Signaling Pathway	3.77E-01		5.56E-02	TNF	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	3.77E-01		5.56E-02	HMGCS1	
Heparan Sulfate Biosynthesis	3.85E-01		3.85E-02	CHST11,GLCE,NDST2	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	3.85E-01		3.85E-02	FZD2,WNT11,WNT5A	
Cardiac β-adrenergic Signaling	3.85E-01		3.55E-02	ADCY2,GNG3,GRK3,PDE1A,PDE3B	
Triacylglycerol Degradation	3.86E-01		4.26E-02	LIPG,NDST2	
Insulin Receptor Signaling	3.92E-01	2.23606797749979	3.57E-02	PDE3B,PIK3R5,PIK3R6,RAPGEF1,SGK1	
Histamine Degradation	3.95E-01		5.88E-02	ALDH1A3	
Dermatan Sulfate Biosynthesis (Late Stages)	3.97E-01		4.35E-02	CHST11,NDST2	
iNOS Signaling	4.09E-01		4.44E-02	FOS,MAPK13	
Androgen Biosynthesis	4.16E-01		6.25E-02	AKR1C3	
Isoleucine Degradation I	4.16E-01		6.25E-02	BCAT1	
Parkinson's Signaling	4.16E-01		6.25E-02	MAPK13	
Cdc42 Signaling	4.2E-01	1.6329931618554523	3.59E-02	ARPC1B,FCER1G,FGD3,FOS,MAPK13,WAS	
Chronic Myeloid Leukemia Signaling	4.33E-01		3.88E-02	CCND1,E2F7,PIK3R5,PIK3R6	
Mouse Embryonic Stem Cell Pluripotency	4.33E-01	1.0	3.88E-02	FZD2,MAPK13,PIK3R5,PIK3R6	
Serotonin Receptor Signaling	4.34E-01		4.65E-02	ADCY2,HTR2A	
tRNA Splicing	4.34E-01		4.65E-02	PDE1A,PDE3B	
Choline Biosynthesis III	4.38E-01		6.67E-02	PLD4	
SAPK/JNK Signaling	4.41E-01	2.0	3.92E-02	FCER1G,MAP3K1,PIK3R5,PIK3R6	
MIF Regulation of Innate Immunity	4.47E-01		4.76E-02	FOS,PLA2G3	
Heparan Sulfate Biosynthesis (Late Stages)	4.49E-01		4.23E-02	CHST11,GLCE,NDST2	
Small Cell Lung Cancer Signaling	4.49E-01		4.23E-02	CCND1,PIK3R5,PIK3R6	
