© 2000-2021 QIAGEN. All rights reserved.

Analysis Details for My Projects->Fetal Adult Manuscript->GPC.vs.preGPC.logfc.5 - 2021-08-25 06:36 PM
Workspace	My Projects
Project	Fetal Adult Manuscript
Analysis	GPC.vs.preGPC.logfc.5 - 2021-08-25 06:36 PM
Date	Wed Aug 25 15:36:48 PDT 2021
Analysis ID	38741583

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Fetal Adult Manuscript->GPC.vs.preGPC.logfc.5 - 2021-08-25 06:36 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	-0E00		9.90E-03	PPP1CB,PPP2R2B	
3-phosphoinositide Degradation	-0E00		1.06E-02	PPP1CB,PPP2R2B	
Actin Nucleation by ARP-WASP Complex	-0E00		1.08E-02	RHOA	
Allograft Rejection Signaling	-0E00		1.04E-02	B2M,HLA-A,HLA-B,HLA-C,HLA-E	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		6.10E-03	HLA-A,HLA-B,SPP1	
Apoptosis Signaling	-0E00		9.62E-03	TNFRSF1A	
Autoimmune Thyroid Disease Signaling	-0E00		8.83E-03	HLA-A,HLA-B,HLA-C,HLA-E	
B Cell Receptor Signaling	-0E00		4.77E-03	ATF4,CREB5,JUN	
CCR5 Signaling in Macrophages	-0E00		8.02E-03	FOS,GNG2,GNG5,JUN	
CD28 Signaling in T Helper Cells	-0E00		7.74E-03	FOS,HLA-A,HLA-B,JUN	
Calcium-induced T Lymphocyte Apoptosis	-0E00		4.35E-03	HLA-A,HLA-B	
Communication between Innate and Adaptive Immune Cells	-0E00		5.38E-03	B2M,HLA-A,HLA-B,HLA-C,HLA-E	
D-myo-inositol-5-phosphate Metabolism	-0E00		1.04E-02	PPP1CB,PPP2R2B	
G-Protein Coupled Receptor Signaling	-0E00		1.09E-02	ATF4,CREB5,PDE4B	
GP6 Signaling Pathway	-0E00		7.87E-03	COL20A1	
