Target,Condition,Proportion,Replicate,GFP
p21,E2F6,0.548913043,1,+
p21,E2F6,0.491705375,2,+
p21,E2F6,0.513586957,3,+
p21,MAX,0.359913793,1,+
p21,MAX,0.316051661,2,+
p21,MAX,0.323878628,3,+
p21,IKZF3,0.46408046,1,+
p21,IKZF3,0.326948112,2,+
p21,IKZF3,0.379310345,3,+
p21,ZNF274,0.540229885,1,+
p21,ZNF274,0.456950861,2,+
p21,ZNF274,0.517241379,3,+
p21,EGFP,0.315233786,1,+
p21,EGFP,0.321436795,2,+
p21,EGFP,0.256410256,3,+
p21,E2F6,0.39817975,1,-
p21,E2F6,0.317387617,2,-
p21,E2F6,0.319681456,3,-
p21,MAX,0.286310518,1,-
p21,MAX,0.288735632,2,-
p21,MAX,0.232102908,3,-
p21,IKZF3,0.373702422,1,-
p21,IKZF3,0.223566215,2,-
p21,IKZF3,0.281430219,3,-
p21,ZNF274,0.294398093,1,-
p21,ZNF274,0.393492081,2,-
p21,ZNF274,0.232419547,3,-
p21,EGFP,0.278832117,1,-
p21,EGFP,0.32496289,2,-
p21,EGFP,0.208759124,3,-
p16,E2F6,0.847826087,1,+
p16,E2F6,0.770072993,2,+
p16,E2F6,0.714673913,3,+
p16,MAX,0.863146552,1,+
p16,MAX,0.42398524,2,+
p16,MAX,0.747361478,3,+
p16,IKZF3,0.722701149,1,+
p16,IKZF3,0.641249768,2,+
p16,IKZF3,0.567528736,3,+
p16,ZNF274,0.827586207,1,+
p16,ZNF274,0.702645947,2,+
p16,ZNF274,0.747126437,3,+
p16,EGFP,0.526395173,1,+
p16,EGFP,0.456827078,2,+
p16,EGFP,0.352941176,3,+
p16,E2F6,0.746871445,1,-
p16,E2F6,0.484139101,2,-
p16,E2F6,0.536405006,3,-
p16,MAX,0.722036728,1,-
p16,MAX,0.200229885,2,-
p16,MAX,0.582214765,3,-
p16,IKZF3,0.574394464,1,-
p16,IKZF3,0.295099062,2,-
p16,IKZF3,0.355247982,3,-
p16,ZNF274,0.656734207,1,-
p16,ZNF274,0.404266782,2,-
p16,ZNF274,0.452920143,3,-
p16,EGFP,0.375182482,1,-
p16,EGFP,0.200890648,2,-
p16,EGFP,0.21459854,3,-
