© 2000-2023 QIAGEN. All rights reserved.

Analysis Details for My Projects->Aging_scRNA->ZNF274vsEGFP - 2023-01-29 06:53 PM
Workspace	My Projects
Project	Aging_scRNA
Analysis	ZNF274vsEGFP - 2023-01-29 06:53 PM
Date	Sun Jan 29 15:53:30 PST 2023
Analysis ID	40216313

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Aging_scRNA->ZNF274vsEGFP - 2023-01-29 06:53 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
AMPK Signaling	-0E00		8.26E-03	ACTB,CDKN1A	
Agranulocyte Adhesion and Diapedesis	-0E00		9.52E-03	ACTB,MYL6	
Aldosterone Signaling in Epithelial Cells	-0E00		5.81E-03	HSPA4L	
Allograft Rejection Signaling	-0E00		2.05E-03	HLA-C	
Amyotrophic Lateral Sclerosis Signaling	-0E00		8.62E-03	BAX	
Antiproliferative Role of TOB in T Cell Signaling	-0E00		2.35E-03	PABPC1	
Autoimmune Thyroid Disease Signaling	-0E00		2.18E-03	HLA-C	
Autophagy	-0E00		4.63E-03	FOS	
B Cell Receptor Signaling	-0E00		4.72E-03	EGR1,HRAS,RASD1	
CCR5 Signaling in Macrophages	-0E00		2.00E-03	FOS	
CD28 Signaling in T Helper Cells	-0E00		1.93E-03	FOS	
CDC42 Signaling	-0E00		5.21E-03	FOS,HLA-C,MYL6	
CDX Gastrointestinal Cancer Signaling Pathway	-0E00		4.95E-03	FOS	
CREB Signaling in Neurons	-0E00		6.59E-03	HRAS,POLR2L,RASD1,VIPR2	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	-0.4472135954999579	8.22E-03	AP1S2,FOS,HLA-C,HRAS,RASD1	
Calcium Signaling	-0E00		4.55E-03	MYL6	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00		3.69E-03	HRAS,RASD1	
Cardiac β-adrenergic Signaling	-0E00		5.56E-03	PPP1CA	
Chaperone Mediated Autophagy Signaling Pathway	-0E00	0.0	9.33E-03	BBC3,HMGB1,IDH2,MTRNR2L12,MTRNR2L8,PSMA2	
Communication between Innate and Adaptive Immune Cells	-0E00		1.07E-03	HLA-C	
Corticotropin Releasing Hormone Signaling	-0E00		6.58E-03	FOS	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00		2.35E-03	HLA-C	
Dendritic Cell Maturation	-0E00		1.68E-03	HLA-C	
FAK Signaling	-0E00	0.0	3.84E-03	FOS,HRAS,RASD1,VIPR2	
Factors Promoting Cardiogenesis in Vertebrates	-0E00		6.54E-03	SMAD5	
FcγRIIB Signaling in B Lymphocytes	-0E00		3.75E-03	HRAS,RASD1	
G-Protein Coupled Receptor Signaling	-0E00	-0.8164965809277261	8.53E-03	FOS,HRAS,MYL6,RASD1,RGS16,VIPR2	
GABA Receptor Signaling	-0E00		7.58E-03	GAD2	
Graft-versus-Host Disease Signaling	-0E00		2.24E-03	HLA-C	
Gαq Signaling	-0E00		5.88E-03	RGS16	
Gαs Signaling	-0E00		7.94E-03	VIPR2	
IL-12 Signaling and Production in Macrophages	-0E00		8.47E-03	FOS,POU2F1	
IL-15 Signaling	-0E00		3.79E-03	HRAS,RASD1	
