Adult_miR_Network,Fetal_miR_Network
miR-24-3p,miR-9-5p
miR-23b-3p,miR-130b-3p
miR-140-3p,miR-130a-3p
miR-4270,miR-106a-5p
miR-4516,miR-17-5p
miR-4763-3p,miR-9-3p
miR-330-3p,miR-767-5p
BCL11A,AHR
miR-548ac,miR-30b-5p
CCND2,miR-125b-5p
CDK1,BIN1
miR-193a-5p,CDK19
miR-4687-3p,miR-379-5p
miR-584-5p,CDKN1C
DBF4,CTNNA1
miR-4651,CYLD
DHFR,DMTF1
EGFR,DUSP10
ETV5,E2F6
GADD45A,EFEMP1
HDAC2,ENPP2
HELLS,ERBB4
HMGA2,ERBIN
IGF2BP1,miR-485-5p
LDHB,miR-93-3p
LMNB1,MAP3K7
MCM4,MAX
MCM6,MBP
NFIB,MYRF
NLGN2,OGT
NRG1,PAK1
NRXN1,PLP1
NTRK3,PMP22
PATZ1,RUNX1
PDGFRA,RUNX2
PHB,SERPINE1
PTPRZ1,STAT3
RRM2,UGT8
S1PR1,VAMP3
SGO1,ZNF365
SKP2,miR-1260b
SOX6,CD9
SPRY4,CBX7
TEAD1,GDNF
TEAD2,
TP53,
TPX2,
WLS,
YAP1,
ZBTB18,
ZEB1,
ZMAT3,
ZNF423,
