Condition,MKI67,CDK1,PDGFRA,MBP,CDKN1A,CDKN2A,IL1A,Timepoint,Replicate,RepTP
C,14.19373883,15.3830265,12.4450595,16.07045615,12.62363239,14.8522655,15.58571525,D3,R2,R2_D3
C,16.67512258,18.2653834,13.71410878,15.98998642,13.01093483,12.7338829,14.14520995,D10,R5,R6_D10
C,16.448294,16.59211254,13.16705926,19.01757399,15.87266254,18.06126817,19.47632567,D10,R5,R5_D10
C,14.4152662,,11.98361158,,,15.77910376,,D3,R5,R6_D3
C,15.01294518,16.13500532,13.01449585,15.66474724,12.35465686,13.38951429,14.34899457,D3,R5,R5_D3
C,15.53990459,14.81209087,13.03501987,19.42607085,14.51505248,15.91025956,18.48127969,D7,R5,R6_D7
C,15.48225911,14.13431295,12.69072278,18.71728579,14.29004033,16.69881439,17.70512072,D7,R5,R5_D7
C,,17.54809105,,,,,,D10,R6,R6_D10
C,,16.38984852,,,,,,D10,R6,R6_D10
C ,12.79240217,14.36881583,12.1975185,17.45331635,13.7736333,17.14035117,18.5615266,D10,R1,R1_D10
C ,13.42690367,14.617016,12.721149,17.0178384,13.38520138,15.567814,16.78695258,D3,R1,R1_D3
C ,12.56153533,12.93493167,11.9682075,18.84958918,15.32568184,19.54816,19.67181253,D7,R1,R1_D7
C ,13.88124,15.37529533,12.5374545,18.92475658,14.69529046,18.35932667,19.58203337,D10,R2,R2_D10
E,15.91993167,16.35469333,14.86208533,15.32432424,12.7358773,15.072852,17.27294853,D10,R1,R1_D10
E,18.30636667,20.83687767,13.95211233,17.41391064,12.25454339,13.44806233,16.67655699,D3,R1,R1_D3
E,14.12996967,16.599062,12.84024633,17.74581842,11.63109776,12.88335933,15.6373545,D7,R1,R1_D7
E,18.60121433,19.45883117,15.77477833,17.28733125,13.12205568,17.04281733,18.79768879,D10,R2,R2_D10
E,16.255785,,13.78752167,15.41689604,11.14294642,13.883811,15.48075407,D3,R2,R2_D3
