"entrezgene","external_gene_name","gene_biotype","description"
10018,"BCL2L11","protein_coding","BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]"
10066,"SCAMP2","protein_coding","secretory carrier membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:10564]"
101927446,"GTPBP10","protein_coding","GTP binding protein 10 [Source:HGNC Symbol;Acc:HGNC:25106]"
10210,"TOPORS","protein_coding","TOP1 binding arginine/serine rich protein [Source:HGNC Symbol;Acc:HGNC:21653]"
10379,"IRF9","protein_coding","interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]"
10391,"CORO2B","protein_coding","coronin 2B [Source:HGNC Symbol;Acc:HGNC:2256]"
104,"ADARB1","protein_coding","adenosine deaminase, RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]"
10472,"ZBTB18","protein_coding","zinc finger and BTB domain containing 18 [Source:HGNC Symbol;Acc:HGNC:13030]"
10509,"SEMA4B","protein_coding","semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730]"
10527,"IPO7","protein_coding","importin 7 [Source:HGNC Symbol;Acc:HGNC:9852]"
10533,"ATG7","protein_coding","autophagy related 7 [Source:HGNC Symbol;Acc:HGNC:16935]"
10542,"LAMTOR5","protein_coding","late endosomal/lysosomal adaptor, MAPK and MTOR activator 5 [Source:HGNC Symbol;Acc:HGNC:17955]"
10558,"SPTLC1","protein_coding","serine palmitoyltransferase long chain base subunit 1 [Source:HGNC Symbol;Acc:HGNC:11277]"
10612,"TRIM3","protein_coding","tripartite motif containing 3 [Source:HGNC Symbol;Acc:HGNC:10064]"
10622,"POLR3G","protein_coding","RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]"
10628,"TXNIP","protein_coding","thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]"
10659,"CELF2","protein_coding","CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]"
10681,"GNB5","protein_coding","G protein subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]"
10721,"POLQ","protein_coding","DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]"
10725,"NFAT5","protein_coding","nuclear factor of activated T cells 5 [Source:HGNC Symbol;Acc:HGNC:7774]"
1073,"CFL2","protein_coding","cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]"
10746,"MAP3K2","protein_coding","mitogen-activated protein kinase kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6854]"
10761,"PLAC1","protein_coding","placenta specific 1 [Source:HGNC Symbol;Acc:HGNC:9044]"
10875,"FGL2","protein_coding","fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]"
10914,"PAPOLA","protein_coding","poly(A) polymerase alpha [Source:HGNC Symbol;Acc:HGNC:14981]"
10933,"MORF4L1","protein_coding","mortality factor 4 like 1 [Source:HGNC Symbol;Acc:HGNC:16989]"
10950,"BTG3","protein_coding","BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]"
11019,"LIAS","protein_coding","lipoic acid synthetase [Source:HGNC Symbol;Acc:HGNC:16429]"
11153,"FICD","protein_coding","FIC domain containing [Source:HGNC Symbol;Acc:HGNC:18416]"
112399,"EGLN3","protein_coding","egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]"
11275,"KLHL2","protein_coding","kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353]"
1129,"CHRM2","protein_coding","cholinergic receptor muscarinic 2 [Source:HGNC Symbol;Acc:HGNC:1951]"
11329,"STK38","protein_coding","serine/threonine kinase 38 [Source:HGNC Symbol;Acc:HGNC:17847]"
11334,"TUSC2","protein_coding","tumor suppressor 2, mitochondrial calcium regulator [Source:HGNC Symbol;Acc:HGNC:17034]"
